Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Net migration,SM.POP.NETM,Nigeria,NGA,184467,90174,73253,-507539,67234,19791,12447,40048,72254,81688,107212,12661,63692,60446,98121,43504,54743,67109,62195,41275,34146,37267,39619,4194,16528,-46749,-41526,-38960,-43402,-48397,18073,38226,41741,10588,-49351,-145917,-54315,15016,-81384,-103989,-4824,-76364,..
Net migration,SM.POP.NETM,United Kingdom,GBR,-12117,-10985,-10558,-10463,-9430,-8661,-7507,-6563,-4833,-3187,-701,3255,10003,20837,33409,48732,66293,86309,108637,133216,161157,186701,210510,230387,247447,261300,272651,279808,283762,284800,281588,277521,272601,268067,261389,254218,246940,239014,230577,221179,211063,202027,..
Net migration,SM.POP.NETM,South Africa,ZAF,52736,28782,37693,57416,73562,123316,243491,266936,288713,299676,231224,12361,-85560,-96947,-76997,-98300,-85040,-56052,-59065,-77647,-80388,-29826,50323,65721,58977,31424,33357,36414,36948,41532,68599,65295,68846,63794,290874,644996,-866101,-10681,27265,22728,30852,10934,..
Net migration,SM.POP.NETM,India,IND,202323,23662,-26106,46174,-57788,-112781,-258917,-232178,-103742,-13987,108465,-158007,8198,2440,110095,-57139,-26079,1240,-28485,-106592,-149966,-177306,-208070,-255516,-214351,-550186,-678231,-769184,-846785,-803437,-380087,-244114,-180991,-236387,-310694,-475094,68119,-219656,-561563,-593495,-34772,-301970,..
Net migration,SM.POP.NETM,Brazil,BRA,11959,-14927,-23807,-17884,-20225,-13535,-24426,-22335,-11309,-2800,6457,-30659,-20270,-21956,-11642,-26337,-24330,-20429,-22409,-26152,-1761,3453,6018,-16908,-5390,-42926,-34007,-30331,-35373,-29357,16843,33631,43451,35308,24940,4764,82589,56362,67934,69186,56880,20376,..
Net migration,SM.POP.NETM,Canada,CAN,101270,89387,64523,33942,24433,39796,94389,141697,207777,223071,145270,127381,123633,129514,132870,137472,150516,140171,126335,143541,201617,224357,206028,182430,193282,204710,202483,210817,237962,240878,227724,228828,245309,242475,195649,232738,320494,361274,417974,391914,195181,195181,..
Net migration,SM.POP.NETM,China,CHN,-20131,-28017,-36185,-43762,-51959,-60932,-79193,-169188,-282270,-627109,-290067,-757481,-873177,-749957,-477036,-625725,-553915,-501141,-439828,-492597,-549792,-485419,-477885,-527837,-458505,-519752,-473105,-438846,-469093,-350365,-216417,-147585,-124641,-137444,-198432,-155379,-153054,-180592,-296674,-302609,-33649,-200194,..
Net migration,SM.POP.NETM,Japan,JPN,-30594,-39929,-32081,-18563,-11510,-8228,-12925,-3413,8399,17970,26291,31126,34064,39228,41331,38572,41491,46477,56577,72925,84477,93257,102260,119257,135835,153248,160536,163068,158396,159210,148460,139793,137344,134721,139401,150215,156993,164070,177470,183953,87584,87584,..
Net migration,SM.POP.NETM,United States,USA,1123144,719062,701091,799544,726016,759118,684733,677547,759523,919737,1421775,1569223,1816509,1752153,1806698,1678815,1771618,1866819,1799996,1667953,1479676,1335725,1168499,1074728,1200409,1129462,1113259,1108509,1095864,1031010,1030731,1322433,1323368,1320840,1250914,1221849,1449371,1377630,1200796,1158444,675560,561580,..
Net migration,SM.POP.NETM,Australia,AUS,86522,118568,107599,64184,74485,87895,109074,131625,150553,140156,95996,68867,34149,23422,53636,79727,82770,67260,72084,85011,109375,113907,107886,103907,109226,132109,192139,251231,278516,235881,166833,197748,235719,214564,198120,209466,242184,244875,220307,235860,117929,117929,..
Net migration,SM.POP.NETM,Germany,DEU,-9445,10722,42143,85198,142722,214794,304200,375035,427377,461795,479954,482849,470043,441211,394809,330244,246097,178604,125369,86982,60905,48500,45985,54381,73107,102694,145046,180746,211709,240968,267047,293051,317082,342555,369027,397921,432017,430803,392587,360560,334055,312735,..
Net migration,SM.POP.NETM,France,FRA,53403,54535,55023,54930,53502,50391,44525,37864,30843,21768,11404,4385,740,235,4295,11505,23046,37822,56608,77667,102857,122247,137513,148696,154947,155943,151814,142170,128627,108940,86355,65188,49080,36552,26585,18807,14729,13175,14391,17403,18335,20614,..
Net migration,SM.POP.NETM,Spain,ESP,15108,-6044,-16439,-21369,-18090,-17354,-19462,-22528,-24067,-31560,-38206,123866,162339,162620,162131,164507,164247,166516,168468,170694,175213,185594,741349,662840,661105,632974,658689,774489,430778,130589,62782,57170,-144619,-254292,-94869,-871,89021,167475,339064,458942,208791,275022,..
Net migration,SM.POP.NETM,Singapore,SGP,17373,25684,26756,31067,31375,31389,37987,34031,26581,29014,44423,71936,71430,68911,69606,67448,77188,70128,74882,69080,39387,32038,22897,19770,15629,80422,149376,147762,145016,142947,109045,72396,67992,67504,60308,40958,36498,35449,35726,40624,21324,19321,..
Net migration,SM.POP.NETM,Kenya,KEN,-39943,-52794,-43402,-23911,-33268,-35416,-53217,-48647,-31904,-24955,-11341,-60109,-43097,-61086,-40371,-75544,-79310,-80488,-70048,-13257,5407,55052,10426,24180,31530,5496,15763,-11496,29607,7098,-21076,-44800,-42929,-57630,-72415,-95981,-29727,-68704,-115434,-61946,-17106,-52549,..
Net migration,SM.POP.NETM,Ghana,GHA,-13567,-12300,7862,15279,-105676,-106911,-98157,-84713,-64855,-52328,-46822,-57922,-47772,-49825,-47170,-42594,-37148,-15423,-17583,-17306,-4208,36057,40580,28764,34434,21273,28539,32815,30509,22415,-3724,-733,1008,-2388,-6316,-13308,7014,-4914,-19374,-21860,-297,-11253,..
Net migration,SM.POP.NETM,Ethiopia,ETH,-903529,628135,66700,68018,137638,157474,186232,251387,379966,242615,296018,859739,160103,141549,140715,91538,41345,-9120,-3002,29118,-49892,-19067,-12921,-13744,-25428,-44423,-30511,-389,-20776,16319,80213,116793,119512,80953,103119,62784,115812,71769,9309,-10803,38867,-1391,..
Net migration,SM.POP.NETM,Netherlands,NLD,24210,21737,20102,19123,18758,19149,20357,22282,24900,28219,32373,35486,37760,38984,39389,38760,37200,34673,31182,26897,21650,17665,14789,13122,12819,13610,15632,18739,23206,28780,35628,41782,46924,51268,54876,57677,59528,60585,60758,60266,58816,57439,..
Net migration,SM.POP.NETM,Saudi Arabia,SAU,148004,145612,150272,159355,160314,163926,162807,170249,178115,182375,186898,165010,130258,31317,35332,27095,29773,31781,29767,24400,17241,19616,22830,17278,10112,481349,490805,495746,495131,494189,236962,94083,88879,77738,65520,60337,171429,282947,253245,241172,-1025295,-153883,..
Net migration,SM.POP.NETM,Libya,LBY,54588,56719,58493,59955,18046,11961,5843,1742,1052,984,947,904,843,426,-1762,-5066,-8448,-10908,-11479,-10203,31970,31097,35582,39618,42112,41035,3351,12641,15257,11670,9613,-862825,5211,25760,-1712,-7660,-5081,9208,5835,-1352,-696,-696,..
Net migration,SM.POP.NETM,"Iran, Islamic Rep.",IRN,66006,1266083,69511,95824,87876,82961,104653,97248,63143,59563,1375419,194979,-203400,-1595940,-197490,-120114,7728,198135,288994,277986,394594,393336,-568950,370945,369535,323987,252053,139826,90815,99224,127703,-150029,19635,23351,653255,628310,23759,7709,-29981,-34571,-156669,28080,..
Net migration,SM.POP.NETM,Afghanistan,AFG,-1205401,-2127145,-586943,-192869,322022,-210572,-427073,-402606,-89837,2683,-666001,39926,1834556,1171818,665410,71824,27194,6129,35740,85758,-1007135,-192286,1327074,388632,-248616,252185,62684,-942887,221000,-58881,-141355,418796,105905,48076,255611,-281739,-90238,-47090,-47205,-8082,166821,-183672,..
Net migration,SM.POP.NETM,Italy,ITA,261163,-9842,-43214,-36074,-31310,-19940,-16397,-5191,7922,13310,21268,20830,27442,27613,24764,28851,54527,51034,42190,39982,49166,47084,222527,478254,417189,250910,210398,485871,413349,280126,270043,195257,249033,154366,50102,34031,49591,70475,75863,21615,28021,28021,..
Net migration,SM.POP.NETM,Argentina,ARG,-3466,10366,19326,29062,30810,31967,32496,32345,30243,20445,6021,-8569,-13201,-16383,-18725,-19736,-20396,-20588,-20331,-20220,-22770,-22787,-22668,-22353,-22336,-21961,-19958,-18051,-12450,-7869,-4970,-1011,3127,5369,5801,5522,5215,4926,4690,4478,2344,2344,..
Net migration,SM.POP.NETM,Israel,ISR,601,5320,12199,20644,27420,34721,41273,46650,51536,54858,57467,58649,58407,57436,54473,50609,45033,39354,34794,30680,27257,23407,20672,17619,15542,13756,12464,10792,9587,7978,9580,9605,9909,10650,10836,12049,13263,14518,15615,16132,16569,16856,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
